SampleID	Species	Genus	Confer	Family	Order	Superclass	Phylum	Kingdom	Completeness
KU199002.1	platyrhincus	Lepisosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_029715.1	platyrhincus	Lepisosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
AB042861.1	oculatus	Lepisosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_004744.1	oculatus	Lepisosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
DQ536423.1	osseus	Lepisosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_008104.1	osseus	Lepisosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_004419.1	spathula	Polyodon	.	Polyodontidae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
AP004353.1	spathula	Polyodon	.	Polyodontidae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
AY571339.1	gladius	Psephurus	.	Polyodontidae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_005834.1	gladius	Psephurus	.	Polyodontidae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_030324.1	albus	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KU985069.1	albus	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_036060.1	suttkusi	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
MF101792.1	suttkusi	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_004420.1	cf.	Scaphirhynchus	albus	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
AP004354.1	cf.	Scaphirhynchus	albus	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KU985071.2	platorynchus	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_030326.1	platorynchus	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KU985072.1	albus	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_030327.1	albus	Scaphirhynchus	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KP997216.1	sturio	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_027417.1	sturio	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KP013103.1	oxyrinchus	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_028290.1	oxyrinchus	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
AB042837.1	transmontanus	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_004743.1	transmontanus	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_027522.1	schrenckii	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KR059905.1	schrenckii	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
NC_021757.1	schrenckii	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
KC905169.1	schrenckii	Acipenser	.	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Metazoa	complete
